EXV_fix,LTD_fix,SVP_fix,capacity_fix,charge_fix,level_cond_fix,level_evap_fix,dTsh_fix,Vd_Evap,LWT_evap,Vd_cond,capacity,EWT_cond,level_cooler,cahrge,p_suc_2,Tsat_dis,liquidLevel_cond,LTD_cond,T_dis,x_in_cond,dp_coolant_evap,x_in_cooler,p_suc,LTD_evap,Qdot_evap,liquidLevel_evap,Tsat_suc,opening,mdot_coolant_cond,mdot_coolant_evap,dp_coolant_cond,T_suc,x_out_cond,SVP,p_dis,Qdot_cond,P_comp,mdot_dis,dTsh,solved,tolerance,NaN,CPU_time,iter_num
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,640094.0,298.84999999999997,0.22324,251.0,354598.37149899686,303.5505161330962,0.09219685294803193,1.0541281540427576,308.22741389785455,1.0300760664289605,50998.65666682419,0.17287044985189054,354598.37149899686,1.5859856030061792,-640093.9999999949,0.22324000000000013,278.5540448466693,0.33882737895924,54.90688354834216,46.885173118947726,23715.84056886385,280.49546771273776,-0.0032262442867724834,0.32437383641222134,779102.259956791,704972.2410418867,64731.775771599074,3.9376586140345307,-0.38821209011535984,1,1e-06,0,0.4391171932220459,11
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,640094.0,300.15,0.22324,251.0,354595.52262203605,304.8562205789997,0.09266269001204427,1.0506414512005904,309.3018853649884,1.0290891620226443,50998.656666824056,0.182427866970428,354595.52262203605,1.5859856030061792,-640093.9999999977,0.22323999999999988,278.5538129568136,0.3381905638123485,54.88788966448939,46.88517311894773,23595.483145759026,280.49506273583717,-0.0034611594906223133,0.3299987939092814,808663.1122227566,707415.7790380744,67178.06109128318,3.9831882201453754,-0.411735520905836,1,1e-06,0,0.1846940517425537,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,640094.0,301.45,0.22324,251.0,354592.55708647316,306.1643344578642,0.0931223895664606,1.0482483173774995,310.43128297634047,1.0283995926651637,50998.656666824194,0.19203650577282638,354592.55708647316,1.5859856030061223,-640093.9999999994,0.22324000000000005,278.5535715713051,0.3376595088017451,54.86824248240713,46.88517311894773,23478.48267804112,280.49465254414764,-0.003703323468643447,0.33610720805735245,839115.831168989,710105.2051938823,69870.37535197005,4.030035680342741,-0.43542051676678284,1,1e-06,0,0.18477892875671387,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,640094.0,302.75,0.22324,251.0,354589.4671721174,307.4748901732054,0.09357455518239621,1.0469202653717389,311.61562637733516,1.0280215146058291,50998.656666824056,0.20170000979874456,354589.4671721174,1.5859856030061223,-640093.9999999997,0.22324000000000005,278.553320061744,0.3371770900432739,54.84794200209537,46.88517311894773,23364.741843725842,280.49423678436835,-0.00395208211697746,0.34270909623637597,870486.5404789952,713054.3572436536,72822.55611121346,4.078275373045902,-0.4591072113836958,1,1e-06,0,0.23526692390441895,5
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,640094.0,304.04999999999995,0.22324,251.0,354586.2454964417,308.78827133606137,0.09401776719594696,1.0466510208569844,312.8509059672709,1.027944226281798,50998.656666824056,0.21141911367949012,354586.2454964417,1.5859856030061223,-640094.0000000031,0.22323999999999988,278.5530578272151,0.3367389321971463,54.82698822355413,46.88517311894773,23254.160008341536,280.49381521058956,-0.004206709009426423,0.34981480521708286,902796.3034910138,716258.8423437966,76030.20032191699,4.1279716598574305,-0.48272314021136253,1,1e-06,0,0.1851029396057129,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,640094.0,305.34999999999997,0.22324,251.0,354582.8836390439,310.10401195356485,0.09445001361609406,1.0473874887204033,314.1333058204821,1.0281595810738653,50998.656666824056,0.22119591083961965,354582.8836390439,1.5859856030060655,-640093.9999999984,0.22323999999999988,278.5527841823236,0.3363458961461193,54.8053811467834,46.88517311894773,23146.629494233803,280.4933875003554,-0.004466297008737992,0.35743394226983194,936057.6436242578,719717.3048124941,79491.94258843071,4.179200077071659,-0.5061121406207576,1,1e-06,0,0.1854701042175293,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,640094.0,306.65,0.22324,251.0,354579.37260081666,311.4218927330798,0.0948697026209187,1.0491211660147428,315.4598340740815,1.0286633452752183,50998.65666682432,0.23103219543632236,354579.37260081666,1.5859856030061223,-640093.9999999969,0.22323999999999988,278.5524983945696,0.3359982399018016,54.783120771783175,46.88517311894773,23042.03628215252,280.4929533238724,-0.004730260349335268,0.3655768585315461,970294.7314131322,723430.1999832417,83208.23061514742,4.232039544149928,-0.5291338622379271,1,1e-06,0,0.18495702743530273,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,640094.0,307.95,0.22324,251.0,354575.70207773446,312.74278300624223,0.09527586440007349,1.0518196557579813,316.83105450409965,1.0294717549941694,50998.656666824194,0.2409312574246179,354575.70207773446,1.5859856030060655,-640093.9999999986,0.22324000000000005,278.5521996252371,0.33569617462704726,54.76020709855346,46.88517311894773,22940.258361957895,280.49251226221236,-0.004998330809291852,0.37425862428162704,1005539.9760386273,727413.5614674098,87195.09927427438,4.2865825941537885,-0.5517532332858082,1,1e-06,0,0.18531012535095215,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,640094.0,309.25,0.22324,251.0,354571.862071639,314.0660319882035,0.09566616543808379,1.05546349928386,318.2392227889158,1.0305516147489187,50998.65666682419,0.25089330714728597,354571.862071639,1.5859856030061792,-640093.999999994,0.22324,278.55188706050666,0.33544079271269284,54.73664012709425,46.885173118947726,22841.17451308109,280.49206400860385,-0.005269512919510984,0.3834891740905637,1041802.4023239908,731647.6860224886,91432.8256239631,4.342910715218163,-0.5738207125823465,1,1e-06,0,0.18548893928527832,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,640094.0,310.54999999999995,0.22324,251.0,354567.84068586386,315.3916593854448,0.09603906353143726,1.0600170905391906,319.68313350750765,1.0319084738615902,50998.656666824056,0.2609212281787958,354567.84068586386,1.5859856030061792,-640093.9999999986,0.22324000000000005,278.551559732026,0.33523292612768896,54.71241985740555,46.88517311894773,22744.65458566656,280.49160810997626,-0.005543298401384846,0.39328227889089545,1079105.7386032573,736140.7835953261,95929.61641172053,4.401126413596119,-0.5952684163278832,1,1e-06,0,0.18864202499389648,4
