EXV_fix,LTD_fix,SVP_fix,capacity_fix,charge_fix,level_cond_fix,level_evap_fix,dTsh_fix,Vd_Evap,LWT_evap,Vd_cond,capacity,EWT_cond,level_cooler,cahrge,p_suc_2,Tsat_dis,liquidLevel_cond,LTD_cond,T_dis,x_in_cond,dp_coolant_evap,x_in_cooler,p_suc,LTD_evap,Qdot_evap,liquidLevel_evap,Tsat_suc,opening,mdot_coolant_cond,mdot_coolant_evap,dp_coolant_cond,T_suc,x_out_cond,SVP,p_dis,Qdot_cond,P_comp,mdot_dis,dTsh,solved,tolerance,NaN,CPU_time,iter_num
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,1181712,287.15,0.22324,251,339984.2064,297.8607651,0.0762,3.2069332,302.5060497,1.031915602,50879.96685,0.116429293,339984.2064,2.772795023,-1181712,0.22324,277.345454,0.429135146,55.04843008,46.86423648,24837.83907,279.3106526,-0.016161903,0.616611146,659666.6889,1277399.984,95520.38173,6.777371982,-2.060933586,1,1.00E-06,0,0.030001879,7
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,1181712,288.45,0.22324,251,339975.2187,299.1453673,0.0762,3.193979253,303.3728867,1.029844043,50879.89797,0.125478209,339975.2187,2.77289647,-1181712,0.22324,277.3446986,0.426975959,55.03531588,46.86423648,24687.5525,279.3101438,-0.01671594,0.625989614,685335.3214,1280168.792,98291.39983,6.846781572,-2.109921572,1,1.00E-06,0,0.017733812,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,1181712,289.75,0.22324,251,339964.5602,300.4351425,0.0762,3.183538105,304.2899949,1.027979884,50879.82668,0.134568865,339964.5602,2.77311467,-1181712,0.22324,277.3438027,0.425131954,55.02154838,46.86423648,24540.72945,279.3095111,-0.017301561,0.63604727,711854.2881,1283251.981,101376.9281,6.9179546,-2.161212195,1,1.00E-06,0,0.017635822,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,1181712,291.05,0.22324,251,339952.5471,301.7296132,0.0762,3.175616623,305.2500333,1.026290194,50879.75278,0.143697277,339952.5471,2.773422225,-1181712,0.22324,277.342793,0.423555856,55.00712759,46.86423648,24397.39326,279.308781,-0.017923798,0.64681078,739242.7955,1286611.875,104739.2703,6.990925534,-2.215095942,1,1.00E-06,0,0.01770401,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,1181712,292.35,0.22324,251,339939.4627,303.0288892,0.0762,3.170239832,306.2579309,1.024805623,50879.676,0.152867482,339939.4627,2.773793792,-1181712,0.22324,277.3416933,0.422211361,54.99205349,46.86423648,24257.54802,279.3079779,-0.018580985,0.658319309,767521.3958,1290291.049,108421.0141,7.065795554,-2.271393444,1,1.00E-06,0,0.017737865,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,1181712,293.65,0.22324,251,339925.5591,304.3329996,0.0762,3.167116524,307.3115416,1.023514491,50879.59602,0.162087675,339925.5591,2.774206221,-1181712,0.22324,277.3405247,0.421069431,54.9763261,46.86423648,24121.20698,279.3071236,-0.019265235,0.670622325,796719.5569,1294278.805,112411.4533,7.142707219,-2.328773602,1,1.00E-06,0,0.017737865,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,1181712,294.95,0.22324,251,339911.0631,305.6417494,0.0762,3.165978397,308.409105,1.022432077,50879.51248,0.171365595,339911.0631,2.774638336,-1181712,0.22324,277.3393063,0.420102839,54.95994541,46.86423648,23988.3738,279.3062379,-0.019967022,0.683776073,826847.6617,1298598.44,116733.8849,7.221809039,-2.3860994,1,1.00E-06,0,0.017711163,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,1181712,296.25,0.22324,251,339896.1774,306.9544109,0.0762,3.166481532,309.5482311,1.021555803,50879.42501,0.180708519,339896.1774,2.775070834,-1181712,0.22324,277.3380552,0.419224563,54.94291142,46.86423648,23859.05267,279.305339,-0.020676476,0.697844374,857925.7348,1303250.551,121388.9019,7.303255883,-2.442745939,1,1.00E-06,0,0.017761946,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,1181712,297.55,0.22324,251,339881.0778,308.2713493,0.0762,3.16839574,310.7290282,1.020895775,50879.33318,0.190125437,339881.0778,2.775486306,-1181712,0.22324,277.3367861,0.41841162,54.92522413,46.86423648,23733.23843,279.3044427,-0.021385799,0.712907083,889975.9226,1308253.546,126394.909,7.387229034,-2.496949197,1,1.00E-06,0,0.017672062,4
0,0,0,1,1,0,1,0,0.0469,280.15,0.0551,1181712,298.85,0.22324,251,339865.9256,309.5925742,0.0762,3.171538564,311.9501865,1.020455292,50879.23657,0.199619762,339865.9256,2.775868859,-1181712,0.22324,277.3355125,0.417664806,54.90688355,46.86423648,23610.9221,279.3035637,-0.022090049,0.729051503,923021.3538,1313615.957,131760.4364,7.473871665,-2.548229859,1,1.00E-06,0,0.01762104,4
